,Tên Sách,Ảnh bìa,Thể loại,Tác giả,Nội dung tóm tắt,Giá bìa,Công ty phát hành,Ngày xuất bản,Kích thước,Loại bìa,Số trang,Nhà xuất bản,Dịch Giả,Phiên bản,Lưu ý,Thương hiệu
125,Danh Pháp Hợp Chất Hữu Cơ,https://salt.tikicdn.com/cache/280x280/ts/product/36/f9/85/d3de75819703e83be606162e7f4af6cd.png,Đại học – cao đẳng – thcn,nhieu tac gia,Sách: Danh Pháp Hợp Chất Hữu CơNhà phát hành: Công Ty Cổ Phần Sách Đại Học - Dạy NghềNhà xuất bản: NXB Giáo Dục Việt NamTác giả: Trần Quốc Sơn (Chủ biển) – trần Thị Tửu...,49000,Nhà xuất bản Giáo dục Việt Nam,,,Bìa mềm,248,Nhà Xuất Bản Giáo Dục Việt Nam,,,,
126,Giáo Trình Điện Công Nghiệp (Tái Bản),https://salt.tikicdn.com/cache/280x280/ts/product/f0/7c/84/cb26a68ed3f4d3fafa40e1a439db5358.jpg,Đại học – cao đẳng – thcn,Bùi Hồng Huế,"Cuốn sách  đề cập đến nhiều thiết bị điện mới đnag ứng dụng rộng rãi trong công nghiệp. Với mỗi thiết bị đều được giới thiệu một cách chi tiết về cấu tạo, nguyên lý hoạt động kèm theo các thông số kỹ ...",111100,NXB Xây Dựng,2020-10-01 00:00:00,19 x 27 cm,Bìa mềm,340,Nhà Xuất Bản Xây Dựng,THXDCT đô thị,,,
127,Giáo Trình Địa Chất Công Trình,https://salt.tikicdn.com/cache/280x280/ts/product/82/d7/f9/609c4a51d3009d2909de9daaf16b62b1.jpg,Đại học – cao đẳng – thcn,Nhiều Tác Giả,Giáo trình Địa chất công trình: Phần 1 được biên soạn nhằm cung cấp cho các bạn những kiến thức về đất đá; kiến tạo địa chất; lịch sử phát triển của vỏ trái đất; các tính chất vật lý của đất đá; các t...,165600,NXB Xây Dựng,2019-07-01 00:00:00,19 x 27 cm,Bìa mềm,365,,,,,
128,Để Viết Phóng Sự Thành Công,https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img884_11.jpg,Đại học – cao đẳng – thcn,Huỳnh Dũng Nhân,"Để Viết Phóng Sự Thành Công Từ những kinh nghiệm của một nhà báo viết phóng sự chuyên nghiệp, cùng với quá trình thỉnh giảng tại khoa Báo chí và Truyền thông, trường Đại học KHXH & NV TP.HCM, nhà...",67800,NXB Tổng Hợp,2016-01-29 00:00:00,14.5  x 20.5 cm,Bìa mềm,395,,,,,
129,Sức Bền Vật Liệu,https://salt.tikicdn.com/cache/280x280/ts/product/37/31/d2/d05a845f50cafdac7a72304fe03750b6.jpg,Đại học – cao đẳng – thcn,GS.TSKH. Nguyễn Văn Liên,Hiểu biết các kiến thức cơ bản của sức bền vật liệu là yêu cầu cực kỳ quan trọng và là nền tảng kiến thức cốt lõi cho các môn học chuyên ngành trong chương trình đào tạo kỹ sư nói chung và kỹ sư xây d...,400400,NXB Xây Dựng,2021-01-01 00:00:00,19 x 27 cm,Bìa mềm,824,Nhà Xuất Bản Xây Dựng,,,,
130,Hóa học hữu cơ Tập 2 ( Đặng Như Tại - Ngô Thị Thuận ) Tặng kèm 1 tẩy hình con vật và 1 bookmark,https://salt.tikicdn.com/cache/280x280/ts/product/8d/e1/db/7815476d2657faa9d0f26a59ed2e31b1.jpg,Đại học – cao đẳng – thcn,GS. TSKH Ngô Thị Thuận,"Hóa học hữu cơ Tập 2 ( Đặng Như Tại - Ngô Thị Thuận ) Tái bản lần thứ tưgiáo trình này được dùng làm tài liệu học tập cho sinh viên các trường đại học,  ...",200000,Nhà xuất bản Giáo dục Việt Nam,2018-11-02 18:55:48,<p>19x27</p>,Bìa mềm,713,,,,,
131,Giáo Trình Pháp Luật Về Thị Trường Chứng Khoán,https://salt.tikicdn.com/cache/280x280/ts/product/6a/ba/81/6c1fa9c298f8bd85fb7d6d3ffe799a69.jpg,Đại học – cao đẳng – thcn,PGS. TS. Lê Thị Thu Thủy,"            Giáo Trình Pháp Luật Về Thị Trường Chứng Khoán        Thị trường chứng khoán là thị trường tài chính đặc biệt, có vai trò quan trọng đối với sự phát triển của nền kinh tế ở các    q...",141000,NXB Đại Học Quốc Gia Hà Nội,2017-01-01 00:00:00,16 x 24 cm,Bìa mềm,571,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,,,
132,Giáo Trình Luật Tố Tụng Hình Sự Việt Nam,https://salt.tikicdn.com/cache/280x280/ts/product/ef/38/63/4a38ec7336a502fbb88c22fc60ccd16c.png,Đại học – cao đẳng – thcn,nhieu tac gia,Sách: Giáo Trình Luật Tố Tụng Hình Sự Việt NamTác giả: PGS. TS. Nguyễn Ngọc Chí - TS. Lê Lan Chi (Đồng chủ biên)Nhà xuất bản: NXB Đại Học Quốc Gia Hà NộiNhà phát hành: Trung Tâm Kinh Doanh Xuất Bả...,175500,Trung Tâm Kinh Doanh Xuất Bản Và Phát Hành Sách,,,Bìa mềm,650,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,,,
133,Giáo Trình Chi Tiết Và Cơ Cấu Máy,https://salt.tikicdn.com/cache/280x280/ts/product/8a/08/38/423f915d0fe985146e872723d1bf377e.jpg,Đại học – cao đẳng – thcn,PGS.TS.Nguyễn Trọng Hùng,"Khoa học kỹ thuật ngày càng phát triển thì máy móc được sử dụng ngày càng nhiều với trình độ cơ khí và tự động hoá càng cao. Song từ một chiếc máy đơn giản đến một cổ máy phức tạp, hiện đại, bất kỳ mộ...",156600,NXB Xây Dựng,2019-07-01 00:00:00,19 x 27,Bìa mềm,360,,,,,
134,Giáo Trình Xử Lý Tín Hiệu Số,https://salt.tikicdn.com/cache/280x280/ts/product/a4/8d/59/cf5feb97e9c0f3e386173d154ce55ef4.jpg,Đại học – cao đẳng – thcn,TS. Huỳnh Nguyễn Bảo Phương,"Hiện nay xử lý tín hiệu số đã trở nên một ứng dụng cơ bản cho kỹ thuật mạch tín hợp hiện đại với các chip có thể lập trình ở tốc độ cao. Vì vậy, xử lý tín hiệu số được ứng dụng trong nhiều lĩnh vực kh...",101700,NXB Xây Dựng,2019-07-01 00:00:00,19 x 27 cm,Bìa mềm,224,,,,,
135,Giáo Trình Xây Dựng Ứng Dụng Web Cho Thương Mại  Điện Tử Trên Netbeans,https://salt.tikicdn.com/cache/280x280/ts/product/b6/e7/34/b3a5bdb12ead53db29871d1f945351fc.jpg,Đại học – cao đẳng – thcn,Nhiều Tác Giả,Cuốn giáo trình Giáo Trình Xây Dựng Ứng Dụng Web Cho Thương Mại Điện Tử Trên Netbeans được biên soạn dựa trên cơ sở kinh nghiệm nhiều năm trong công tác giảng dạy các môn học chuyên ngành trong đào tạ...,132800,NXB Xây Dựng,2019-07-01 00:00:00,19 x 27 cm,Bìa mềm,288,,,,,
136,Giáo Trình Quản Lý Dịch Vụ Ô Tô,https://salt.tikicdn.com/cache/280x280/ts/product/35/8c/c4/7cc53a3495f5e4bb110925ae9204a5e5.jpg,Đại học – cao đẳng – thcn,PGS.TS. Nguyễn Thanh Tuấn," Lời nói đầuChương 1. Khái quát về quản lý dịch vụ ô tô1.1. Khái niệm về hãng, đại lý ô tô 1.2. Mục tiêu của đại lý1.3. Chức năng hoạt động của các đại lý ô tô1.3.1. Việc phân phối,...",104400,NXB Xây Dựng,2019-07-01 00:00:00,17 x 24 cm,Bìa mềm,220,,,,,
137,Giáo Trình Kinh Tế Xây Dựng,https://salt.tikicdn.com/cache/280x280/ts/product/63/0b/a2/d1f6a846b4d82f2dff0f4886c3a96d8e.jpg,Đại học – cao đẳng – thcn,ThS. Nguyễn Thu Hương,"Giáo trình dành cho môn Kinh tế xây dựng, về những khái niệm cơ bản và những vấn đề kinh tế trong ngành Xây dựng....",179900,NXB Xây Dựng,2019-07-01 00:00:00,19 x 27,Bìa mềm,390,,,,,
138,Luật Hành Chính Việt Nam,https://salt.tikicdn.com/cache/280x280/ts/product/69/0c/6d/7d1b37fc69aa382ede1e6d62330801c3.jpg,Đại học – cao đẳng – thcn,"GS.TS. Phạm Hồng Thái,Nguyễn Thị Minh Hà","            Luật Hành Chính Việt Nam        Trước khi tiếp cận quản lý hành chính nhà nước, cần thống nhất quan niệm về quản lý. Trong khoa học có nhiều quan niệm khác    nhau về quản lý, có qu...",172020,NXB Đại Học Quốc Gia Hà Nội,2017-01-01 00:00:00,16 x 24 cm,Bìa mềm,615,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,,,
139,"Lập, Thẩm Định, Phê Duyệt, Quản Lý Và Điều Hành Dự Án Đầu Tư Xây Dựng",https://salt.tikicdn.com/cache/280x280/ts/product/3c/d4/b9/752c53b80f8903c13edb685afb9d3487.jpg,Đại học – cao đẳng – thcn,PGS. TS. Thái Bá Cẩn,"            Lập, Thẩm Định, Phê Duyệt, Quản Lý Và Điều Hành Dự Án Đầu Tư Xây Dựng        được chia làm 15 chương như sau:    Chương 1: Tổng quan các Văn bản quy phạm pháp luật liên quan đến dự ...",272000,NXB Tài Chính,2017-01-01 00:00:00,16 x 24 cm,Bìa mềm,838,Nhà Xuất Bản Tài Chính,,,,
140,Giáo Trình Sức Bền Vật Liệu,https://salt.tikicdn.com/cache/280x280/ts/product/37/6c/66/a64181f346887580f144682a15b09a46.jpg,Đại học – cao đẳng – thcn,TS.Trần Hưng Trà,"SỨC BỀN VẬT LIỆU là môn học cơ sở, cung cấp các khái niệm và kiến thức cho nhiều ngành kỹ thuật như xây dựng, cơ khí, thủy lợi, giao thông, hàng hải, hàng không,  nên được giảng dạy rộng rãi trong nhi...",98100,NXB Xây Dựng,2019-07-01 00:00:00,19 x 27,Bìa mềm,190,,,,,
141,Lý Thuyết Bê Tông,https://salt.tikicdn.com/cache/280x280/ts/product/97/6e/f9/3f9c7139fc6e9b8f416f83428302f965.jpg,Đại học – cao đẳng – thcn,"PGS.TS. Nguyễn Như Quý,ThS. Mai Quế Anh",Lý thuyết bê tôngVào những thập niên cuối của thế kỷ XX đất nước bước sang thời kỳ đổi mới. Ngành công nghiệp xây dựng Việt Nam phát triển mạnh. Đầu tư cho ngành xây dựng để phát triển cơ sở hạ tầng ...,98800,NXB Xây Dựng,,17 x 24 cm,Bìa mềm,210,Nhà Xuất Bản Xây Dựng,,,,
142,Hướng Dẫn Thực Hành Kế Toán Trong Các Doanh Nghiệp,https://salt.tikicdn.com/cache/280x280/media/catalog/product/h/u/huong-dan-thuc-hanh-ke-toan-trong-cac-doanh-nghiep.jpg,Đại học – cao đẳng – thcn,Nhiều Tác Giả,"Hướng Dẫn Thực Hành Kế Toán Trong Các Doanh Nghiệp Hàng tồn kho, tài sản cố định và nợ phải thu, phải trả là những nội dung quan trọng của tất cả các loại hình doanh nghiệp với các quy mô khác nhau t...",50000,Hương Huy,2010-04-20 00:00:00,16 x 24 cm,Bìa mềm,226,Nhà Xuất Bản Tài Chính,,,,
143,Kinh Tế Phát Triển - Bài Tập Và Đáp Án,https://salt.tikicdn.com/cache/280x280/media/catalog/product/k/i/kinh-te-phat-trien.jpg,Đại học – cao đẳng – thcn,MBA. Nguyễn Văn Dung,Kinh Tế Phát Triển - Bài Tập Và Đáp Án Phần 1: Tóm tắt lý thuyết Phần 2: Câu hỏi trắc nghiệm và đáp án Phần 3: Bài tập và đáp án Phần 4: Đề thi mẫu và đáp án Phần 5: Thuật ngữ tiếng Anh chuyên ng...,97000,Hương Huy,2012-04-20 00:00:00,16 x 24 cm,Bìa mềm,385,Nhà Xuất Bản Phương Đông,,,,
