,Tên Sách,Ảnh bìa,Thể loại,Tác giả,Nội dung tóm tắt,Giá bìa,Công ty phát hành,Ngày xuất bản,Loại bìa,Số trang,Nhà xuất bản,Kích thước,Dịch Giả,Phiên bản
55,Đi Như Tờ Giấy Trắng,https://salt.tikicdn.com/cache/280x280/ts/product/fa/49/bc/58ef2e10354be5b26a0e2ec392e83d48.jpg,Chăm sóc sức khỏe,Trần Thuỳ Linh,"Đi Như Tờ Giấy TrắngCuốn sách là những trang viết về trải nghiệm du lịch ở những vùng đất từ lạ đến quen, từ nước ngoài về Việt Nam. Các trang du ký thú vị, đầy màu sắc, độc đáo bởi được tạo nên dưới...",95200,Alphabooks,2019-01-05 00:00:00,Bìa mềm,304,,13 x 20.5 cm,,
56,Quá Trẻ Để Chết: Hành Trình Nước Mỹ,https://salt.tikicdn.com/cache/280x280/media/catalog/product/b/_/b_a_qu_tr_ch_t_1.jpg,Chăm sóc sức khỏe,Đinh Hằng,Quá Trẻ Để Chết: Hành Trình Nước Mỹ Quá trẻ để chết: Hành trình nước Mỹ là hành trình đơn độc của tác giả - một cô gái Việt trẻ đi xuyên nước Mỹ từ Bờ Đông sang bờ Tây. Hành trình du lịch bụi của cô ...,65000,Nhã Nam,2015-04-14 00:00:00,Bìa mềm,,Nhà Xuất Bản Hội Nhà Văn,,,
57,Quá Trẻ Để Chết: Hành Trình Nước Mỹ - Tái Bản,https://salt.tikicdn.com/cache/280x280/ts/product/df/f8/f5/b19930ed7d1923c62e06cc7bcc5bb166.jpg,Chăm sóc sức khỏe,Đinh Hằng,"Quá trẻ để chết: Hành trình nước Mỹ là hành trình đơn độc của tác giả - một cô gái Việt trẻ đi xuyên nước Mỹ từ Bờ Đông sang bờ Tây. Hành trình du lịch bụi của cô trải dài trên 20 bang, kéo dài suốt s...",63200,Nhã Nam,2019-03-03 00:00:00,Bìa mềm,,,14 x 20 cm,,
58,Tôi Bỏ Quên Tôi Ở Nước Anh (Tái Bản),https://salt.tikicdn.com/cache/280x280/ts/product/1d/24/2a/7f383d0060cc1e13b6794e8574e60cb0.jpg,Chăm sóc sức khỏe,Minh Thi,"Tôi Bỏ Quên Tôi Ở Nước Anh của Minh Thi, như một-truyện-tình, mơ màng nhưng thật sống động, của một du học sinh đối với nước Anh, xứ sở dù chia tay nhưng đã nằm trọn trong trái tim...",82000,Nhã Nam,2019-10-09 00:00:00,Bìa mềm,255,Nhà Xuất Bản Hội Nhà Văn,14 x 20.5 cm,,
59,Ngày Mai Vẫn Là Tuổi Trẻ,https://salt.tikicdn.com/cache/280x280/ts/product/d5/26/75/e1adc63a6364bc84ba3a1e9ef9a343a7.jpg,Chăm sóc sức khỏe,Ốc Sên Gió,"Ngày Mai Vẫn Là Tuổi TrẻTrong cuộc đời chúng ta, bất kể là ai, cũng sẽ có những ngày mệt mỏi đến mức muốn bỏ hết tất cả mà đi.Những ngày mà đủ thứ áp lực dồn lên đầu bạn, tình cảm, công việc, học hà...",98580,Skybooks,,Bìa mềm,296,,14.5 x 20.5 cm,,
60,Đi Rong Trên Những Múi Giờ,https://salt.tikicdn.com/cache/280x280/ts/product/da/a1/c5/cb9dab9db0f00e1c8b39470d8015f3ce.jpg,Chăm sóc sức khỏe,Nguyễn Hữu Tài,"Đi rong trên những múi giờ là cuốn sách gồm 19 bài viết về cuộc hành trình khám phá các quốc gia nằm trải rộng trên ba châu lục Á, Âu, Phi dưới cái nhìn của một người Mỹ gốc Việt hòa trộn trong mình c...",87200,Alphabooks,2018-12-06 15:35:07,Bìa mềm,292,,,,
61,Hàn Quốc - Tôi Mong Đi Và Tôi Sẽ Đến,https://salt.tikicdn.com/cache/280x280/ts/product/b4/6c/e4/2a8bc8766d1c8f9483d20121c29e3e92.jpg,Chăm sóc sức khỏe,Trần Minh Hằng,"Đến Hàn Quốc thời điểm nào để có thể ngắm “mưa” hoa anh đào, để dạo bước trên những con đường phủ đầy lá vàng và ngắm tuyết rơi?Đến Hàn Quốc nên ở đâu, đi đâu, làm gì, ăn gì?Đến Hàn Quốc làm sao để đi...",100000,NXB Trẻ,2018-12-01 13:59:31,Bìa mềm,224,,,,
62,Thiên Đường Qua Những Ô Cửa Màu Xanh,https://salt.tikicdn.com/cache/280x280/ts/product/33/de/d6/2e1e73f9c9cc91427ff71510165c05dc.jpg,Chăm sóc sức khỏe,Na Hồ,"Thiên Đường Qua Những Ô Cửa Màu XanhThiên đường qua những ô cửa màu xanh không chỉ là ghi chép du lịch trong hành trình qua các nước châu Âu, mà còn gom góp những trải nghiệm đẹp đẽ trong suốt quá tr...",56000,NXB Phụ Nữ Việt Nam,2018-09-18 17:34:57,Bìa mềm,248,,,,
63,Sách Văn Học - Du Ký:  Châu Âu Có Gì Lạ Không Em? - (Những Trải Nghiệm Trân Thực Mới Mẻ Về Châu Âu / Tặng Kèm Bookmark Greenlife),https://salt.tikicdn.com/cache/280x280/ts/product/fb/b0/c5/bccbe1082cbeb0d12474a361b3d58569.jpg,Chăm sóc sức khỏe,Misa Gjone,Sách Văn Học - Du Ký: Châu Âu Có Gì Lạ Không Em? - (Những Trải Nghiệm Trân Thực Mới Mẻ Về Châu Âu / Tặng Kèm Bookmark Greenlife)Cuốn sách là những ghi chép và mô tả của tác giả về hành trình du lịch ...,76000,Sống,,Bìa mềm,,,"<table id=""chi-tiet"" class=""table table-bordered table-detail table-striped"" cellspacing=""0"">
<tbody>
<tr>
<td class=""last"">13 x 20.5 cm</td>
</tr>
</tbody>
</table>",,
64,Combo Sách Du Ký : HIMALAYA – Hành Trình Chạm Đến Trán Trời + Khơi Lửa Sông Nile,https://salt.tikicdn.com/cache/280x280/ts/product/ca/9c/f8/171b89e4901189dea082991c256f5ccb.JPG,Chăm sóc sức khỏe,nhieu tac gia,HIMALAYA – Hành Trình Chạm Đến Trán TrờiCuốn sách được viết khi Mai Lan và người bạn đồng hành đang trên đường trở về Salleri – điểm gần với Vườn quốc gia Sagarmatha nhất có thể đến được bằng ô tô. 2...,148200,Alphabooks,,Bìa mềm,,Nhà Xuất Bản Thế Giới,,,
